Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.0dpsmd	Jean-Jacques Domoraud	 	Cote d'Ivoire	people.person.nationality
m.02w5z1c	Arnaud Kouyo	 	Cote d'Ivoire	people.person.nationality
 	Frank RÃ¶ser	m.0345h	Germany	people.person.nationality
 	Achim Hollerieth	m.0345h	Germany	people.person.nationality
 	Herion Novaku	m.0jdx	Albania	people.person.nationality
 	Mario Hansche	m.0345h	Germany	people.person.nationality
 	Stefan Seufert	m.0345h	Germany	people.person.nationality
 	Markus Husmann	m.0345h	Germany	people.person.nationality
 	Daniel Bernd	m.0345h	Germany	people.person.nationality
 	Ali Kunter	m.01znc_	Turkey	people.person.nationality
 	Mert Meric	m.01znc_	Turkey	people.person.nationality
 	Colin McMenamin	m.06q1r	Scotland	people.person.nationality
 	Michal Hampel	m.01mjq	Czech Republic	people.person.nationality
 	Fabio Celestini	m.06mzp	Switzerland	people.person.nationality
 	Daniel Jurgeleit	m.0345h	Germany	people.person.nationality
 	Orhan Kaynak	m.01znc_	Turkey	people.person.nationality
 	Kevin Horlock	m.05bcl	Northern Ireland	people.person.nationality
 	Barry McLaughlin	m.06q1r	Scotland	people.person.nationality
 	Mathias BÃ¶rger	m.0345h	Germany	people.person.nationality
 	Henri Siqueira-Barras	m.06mzp	Switzerland	people.person.nationality
 	Ricky Robb	m.06q1r	Scotland	people.person.nationality
 	Chris Shuker	m.02jx1	England	people.person.nationality
 	Jesper Bech	m.0k6nt	Denmark	people.person.nationality
 	ClÃ©ber	m.015fr	Brazil	people.person.nationality
 	ClÃ©ber	m.015fr	Brazil	people.person.nationality
 	Thomas Borenitsch	m.0h7x	Austria	people.person.nationality
 	Miodrag Jovanovic	m.077qn	Serbia	people.person.nationality
 	Kolo TourÃ©	 	Cote d'Ivoire	people.person.nationality
 	Mihal Balaz	m.06npd	Slovakia	people.person.nationality
 	Ã“scar de Paula	m.06mkj	Spain	people.person.nationality
 	Scott Leitch	m.06q1r	Scotland	people.person.nationality
 	Michael Kaminski	m.0345h	Germany	people.person.nationality
 	Torsten BÃ¶ker	m.0345h	Germany	people.person.nationality
 	Ryan Jarvis	m.02jx1	England	people.person.nationality
 	Sven Lintjens	m.0345h	Germany	people.person.nationality
 	Thorsten Wittek	m.0345h	Germany	people.person.nationality
 	Ali GÃ¶l	m.0345h	Germany	people.person.nationality
 	Andy Marshall	m.02jx1	England	people.person.nationality
 	Ersin GÃ¼reler	m.01znc_	Turkey	people.person.nationality
 	Engin Kalender	m.01znc_	Turkey	people.person.nationality
 	Jamal Akachar	m.059j2	Netherlands	people.person.nationality
 	Karl-Heinz Kieren	m.0345h	Germany	people.person.nationality
 	Jens PÃ¶ttgen	m.0345h	Germany	people.person.nationality
 	Josip Labas	m.01pj7	Croatia	people.person.nationality
 	Evgeni Baranov	m.06bnz	Russia	people.person.nationality
 	Callum Davidson	m.06q1r	Scotland	people.person.nationality
 	Ross Ballantyne	m.06q1r	Scotland	people.person.nationality
 	RaÃºl Bravo	m.06mkj	Spain	people.person.nationality
 	Dimitrios Nikolaidis	m.035qy	Greece	people.person.nationality
 	Reinhard Strohmaier	m.0345h	Germany	people.person.nationality
 	Tobias Jaensch	m.0345h	Germany	people.person.nationality
 	Torsten Knabel	m.0h7x	Austria	people.person.nationality
 	Zeljko Kalac	m.0chghy	Australia	people.person.nationality
 	Henok Goitom	m.0d0vqn	Sweden	people.person.nationality
 	Suad Rahmanovic	m.0345h	Germany	people.person.nationality
 	Marc BÃ¶hnke	m.0345h	Germany	people.person.nationality
 	Jan Wallbruch	m.0345h	Germany	people.person.nationality
 	AndrÃ© Schmitt	m.0345h	Germany	people.person.nationality
 	Andreas Neumeier	m.0345h	Germany	people.person.nationality
 	Mimoun Azaouagh	m.0345h	Germany	people.person.nationality
 	BoldizsÃ¡r Bodor	m.03gj2	Hungary	people.person.nationality
 	Bernd Kaintz	m.0h7x	Austria	people.person.nationality
 	Antun Labak	m.01pj7	Croatia	people.person.nationality
 	Ismet Tasdemir	m.01znc_	Turkey	people.person.nationality
 	Wilco Hellinga	m.059j2	Netherlands	people.person.nationality
 	Thorstein Helstad	m.05b4w	Norway	people.person.nationality
 	Ryan Stevenson	m.06q1r	Scotland	people.person.nationality
 	Ned Zelic	m.0chghy	Australia	people.person.nationality
 	Don Cowie	m.06q1r	Scotland	people.person.nationality
 	Thomas Dame	m.0345h	Germany	people.person.nationality
 	Olaf Nielsen	m.0345h	Germany	people.person.nationality
 	Jan Schanda	m.0345h	Germany	people.person.nationality
