Freebase Player Key	Player Name	Freebase Nationality Key	Nationality	Freebase relation
m.0gyrfk8	Willie Gibson	m.06q1r	Scotland	people.person.nationality
m.09g9rv9	Adis Obad	m.0166b	Bosnia and Herzegovina	people.person.nationality
m.02qyykm	James Coll	m.0j5g9	Wales	people.person.nationality
m.05pb7cb	David Le Bras	m.0f8l9c	France	people.person.nationality
m.0ds1k_y	Nando	m.0j4b	Angola	people.person.nationality
m.05f6zkr	Samir Toplak	m.01pj7	Croatia	people.person.nationality
m.030qgyg	Florian Wurster	m.0345h	Germany	people.person.nationality
m.064mp__	Gavin Heeroo	m.04vs9	Mauritius	people.person.nationality
m.026pkb_	John Collins	m.06q1r	Scotland	people.person.nationality
m.0gff8dk	Amaechi Ottiji	m.05cgv	Nigeria	people.person.nationality
m.07k4rv_	Hugo Cunha	m.05r4w	Portugal	people.person.nationality
m.0ngs9w0	Dudu	m.03spz	Israel	people.person.nationality
m.05m068	Olivier Nzuzi	m.01rxw	Congo	people.person.nationality
m.05p94tk	Peter Logan	m.06q1r	Scotland	people.person.nationality
m.02w1213	Rolf-Christel Guié-Mien	m.01rxw	Congo	people.person.nationality
m.06w50zc	Anestis Anastasiadis	m.035qy	Greece	people.person.nationality
m.05f5d0q	Jean-Clotaire Tsoumou-Madza	m.01rxw	Congo	people.person.nationality
m.0288_7f	Hans Somers	m.0154j	Belgium	people.person.nationality
m.07s5v4_	Mehmet Al	m.01znc_	Turkey	people.person.nationality
m.0bbxh78	Paul Evans	m.0j5g9	Wales	people.person.nationality
m.0h3m77r	Stephen Famewo	m.0345h	Germany	people.person.nationality
m.05p8kz0	Jack Smith	m.02jx1	England	people.person.nationality
m.0hrh05r	Ersan Tekkan	m.0345h	Germany	people.person.nationality
m.05l_yr	Franck Matingou	m.01rxw	Congo	people.person.nationality
m.0gfds5_	Matt Murray	m.02jx1	England	people.person.nationality
m.0ks04p	Zé Roberto	m.015fr	Brazil	people.person.nationality
m.07kfx4l	Andy McLaren	m.06q1r	Scotland	people.person.nationality
m.0b_zxgq	Caner Celep	m.01znc_	Turkey	people.person.nationality
m.04z_848	Eddie May	m.06q1r	Scotland	people.person.nationality
m.04f4y8r	Robert Heiße	m.0345h	Germany	people.person.nationality
m.0gys28c	Louis Gomis	m.06srk	Senegal	people.person.nationality
m.08051gf	James Gallagher	m.03rt9	Ireland	people.person.nationality
m.0b6d637	Chris Kerr	m.06q1r	Scotland	people.person.nationality
m.0h93tz8	Pál Dárdai	m.03gj2	Hungary	people.person.nationality
m.04644b0	Andy Barr	m.06q1r	Scotland	people.person.nationality
m.0hgpkgt	Martyn Fotheringham	m.06q1r	Scotland	people.person.nationality
m.09kh89	Dimba	m.01rxw	Congo	people.person.nationality
m.05zjr9l	Marco Ingrao	m.0154j	Belgium	people.person.nationality
m.09gcnjx	John Dodds	m.06q1r	Scotland	people.person.nationality
m.08fgnk	Souleymane Oulare	m.03676	Guinea	people.person.nationality
m.027_mnw	Sam Russell	m.02jx1	England	people.person.nationality
m.0gjpkt	Ali Elkhattabi	m.04wgh	Morocco	people.person.nationality
m.065ycry	Dimitrios Sotiriou	m.035qy	Greece	people.person.nationality
m.030qrkp	Jens Kern	m.0345h	Germany	people.person.nationality
m.056f4tc	Mansour Assoumani	m.04v09	Mali	people.person.nationality
m.06zs1rb	Samuel Allegro	m.0f8l9c	France	people.person.nationality
m.04cxp5r	Oleg Kornaukhov	m.06bnz	Russia	people.person.nationality
m.02qptfx	Chris Kingsberry	m.05bcl	Northern Ireland	people.person.nationality
m.030qgx7	Roy Stapelfeld	m.0345h	Germany	people.person.nationality
m.0dd8fck	Mark Wright	m.02jx1	England	people.person.nationality
m.07s995f	Andy Reid	m.03rt9	Ireland	people.person.nationality
m.064p3mq	Ken Asaeda	m.03_3d	Japan	people.person.nationality
m.0gg5cny	Alex Rae	m.06q1r	Scotland	people.person.nationality
m.054n_hn	Samuel Johnson	m.035dk	Ghana	people.person.nationality
m.05c091y	Gábor Nagy	m.03gj2	Hungary	people.person.nationality
m.07sxfx	Gerard Nash	m.03rt9	Ireland	people.person.nationality
m.0b6ghdr	Robert Wulnikowski	m.0345h	Germany	people.person.nationality
m.04gjlyn	Ali Karimi	m.03shp	Iran	people.person.nationality
m.0gy13km	Eric Hellemons	m.059j2	Netherlands	people.person.nationality
m.02qmr2q	Serge Mputu Mbungu	m.01rxw	Congo	people.person.nationality
m.0bbzyt2	Bruno Vale	m.05r4w	Portugal	people.person.nationality
m.080fwy0	Jamie Smith	m.06q1r	Scotland	people.person.nationality
m.07kdsbc	Duncan McLean	m.06q1r	Scotland	people.person.nationality
m.064qfcn	Stephen Hughes	m.06q1r	Scotland	people.person.nationality
m.0dljpzs	Paul Smith	m.02jx1	England	people.person.nationality
m.05p57fd	Morten Knutsen	m.05b4w	Norway	people.person.nationality
m.0bmff_3	Chris Lynch	m.02jx1	England	people.person.nationality
m.064k3vz	Andy Aitken	m.06q1r	Scotland	people.person.nationality
m.0ch3lw4	Ben Manga	m.02kcz	Equatorial Guinea	people.person.nationality
m.02z8vhs	Tomislav Piplica	m.0166b	Bosnia and Herzegovina	people.person.nationality
m.0b_ztbb	Serge Ayeli	m.0f8l9c	France	people.person.nationality
m.0knc37l	Erol Bekir	m.0d0vqn	Sweden	people.person.nationality
m.0cc5vpj	Vincent Euvrard	m.0154j	Belgium	people.person.nationality
m.03m4pz_	Jimmy Gibson	m.06q1r	Scotland	people.person.nationality
m.0h98r2s	John Henry	m.06q1r	Scotland	people.person.nationality
m.04glzbs	Joe Dolan	m.02jx1	England	people.person.nationality
m.0k06d84	Stefan Schmid	m.0k6nt	Denmark	people.person.nationality
m.0gvr03m	Kyriakos Tohouroglou	m.035qy	Greece	people.person.nationality
